Maturity;Rente;ZCB_prices
0;-0,470352;1,000012917
0,019230769;-0,458657;1,000125957
0,083333333;-0,454081;1,000436507
0,166666667;-0,452679;1,000781275
0,25;-0,452394;1,001165201
0,5;-0,452277;1,002293912
0,75;-0,454416;1,003452943
1;-0,454617;1,00462964
1,25;-0,453259;1,005775911
1,5;-0,450541;1,006821218
1,75;-0,444278;1,007877809
2;-0,437727;1,008860854
2,25;-0,430727;1,009813208
2,5;-0,420402;1,010634392
2,75;-0,408115;1,011349163
3;-0,395168;1,011982277
3,25;-0,381987;1,01255307
3,5;-0,369156;1,013059203
3,75;-0,35612;1,013492916
4;-0,342577;1,013849859
4,25;-0,32873;1,01411521
4,5;-0,314417;1,014289384
4,75;-0,299484;1,014369572
5;-0,28409;1,014350091
5,25;-0,268485;1,014233123
5,5;-0,2526;1,014021771
5,75;-0,236429;1,013720222
6;-0,22028;1,013337684
6,25;-0,204491;1,012890101
6,5;-0,188654;1,012360174
6,75;-0,17258;1,011739405
7;-0,156007;1,011010598
7,25;-0,140253;1,010237123
7,5;-0,123849;1,009344605
7,75;-0,10675;1,008325135
8;-0,090074;1,007245168
8,25;-0,073311;1,006075757
8,5;-0,056521;1,004821859
8,75;-0,039768;1,003489153
9;-0,022925;1,002067483
9,25;-0,006397;1,000592489
9,5;0,009819;0,999067126
9,75;0,026284;0,997439127
10;0,042652;0,995741324
12;0,167467;0,980107484
15;0,324082;0,952599887
20;0,476276;0,909310931
25;0,527314;0,876756993
30;0,529364;0,853467055
40;0,491663;0,821828416
50;0,43781;0,803752984
